isoform_id	category	E1	E2	E3
320	full-splice_match	1.0	1.0	1.0
321	novel_in_catalog	1.0	1.0	1.0
322	novel_in_catalog	1.0	1.0	1.0
323	full-splice_match	1.0	1.0	1.0
324	novel_not_in_catalog	1.0	0.0	1.0
325	novel_not_in_catalog	1.0	0.0	0.0
326	novel_in_catalog	1.0	1.0	0.0
327	novel_in_catalog	1.0	1.0	1.0
328	full-splice_match	1.0	1.0	1.0
329	novel_in_catalog	1.0	0.0	0.0
330	full-splice_match	1.0	1.0	1.0
331	novel_not_in_catalog	1.0	0.0	0.0
332	novel_not_in_catalog	1.0	0.0	0.0
333	full-splice_match	1.0	1.0	0.0
334	novel_in_catalog	1.0	1.0	1.0
335	full-splice_match	1.0	1.0	1.0
336	full-splice_match	1.0	1.0	1.0
337	novel_in_catalog	1.0	1.0	1.0
338	full-splice_match	1.0	1.0	1.0
339	novel_in_catalog	1.0	0.0	0.0
340	novel_in_catalog	1.0	1.0	1.0
341	full-splice_match	1.0	1.0	1.0
342	novel_in_catalog	1.0	1.0	0.0
343	novel_in_catalog	1.0	0.0	0.0
344	full-splice_match	1.0	0.0	0.0
345	novel_not_in_catalog	1.0	0.0	0.0
346	full-splice_match	1.0	1.0	1.0
347	full-splice_match	1.0	1.0	1.0
348	full-splice_match	1.0	1.0	0.0
349	incomplete-splice_match	1.0	0.0	0.0
350	incomplete-splice_match	1.0	0.0	1.0
351	full-splice_match	1.0	1.0	1.0
352	full-splice_match	1.0	1.0	1.0
353	full-splice_match	1.0	1.0	1.0
354	full-splice_match	1.0	1.0	1.0
355	incomplete-splice_match	1.0	1.0	0.0
356	incomplete-splice_match	1.0	1.0	1.0
357	incomplete-splice_match	1.0	0.0	0.0
358	incomplete-splice_match	1.0	1.0	1.0
359	incomplete-splice_match	1.0	1.0	1.0
360	novel_not_in_catalog	1.0	0.0	0.0
361	novel_in_catalog	1.0	1.0	1.0
362	incomplete-splice_match	1.0	0.0	0.0
363	full-splice_match	1.0	1.0	1.0
364	full-splice_match	1.0	1.0	1.0
365	incomplete-splice_match	1.0	0.0	0.0
366	full-splice_match	1.0	1.0	1.0
367	full-splice_match	1.0	1.0	1.0
368	novel_not_in_catalog	1.0	0.0	0.0
369	full-splice_match	1.0	1.0	1.0
370	incomplete-splice_match	1.0	0.0	0.0
371	full-splice_match	1.0	1.0	1.0
372	novel_in_catalog	1.0	0.0	0.0
373	novel_in_catalog	1.0	0.0	1.0
374	full-splice_match	1.0	1.0	1.0
375	full-splice_match	1.0	0.0	0.0
376	incomplete-splice_match	1.0	1.0	1.0
377	novel_in_catalog	1.0	0.0	1.0
378	novel_in_catalog	1.0	0.0	0.0
379	full-splice_match	1.0	0.0	0.0
380	full-splice_match	1.0	1.0	0.0
381	full-splice_match	1.0	1.0	1.0
382	full-splice_match	1.0	1.0	1.0
383	full-splice_match	1.0	1.0	1.0
384	full-splice_match	1.0	0.0	1.0
385	full-splice_match	1.0	1.0	1.0
386	full-splice_match	1.0	1.0	0.0
387	full-splice_match	1.0	0.0	0.0
388	full-splice_match	1.0	1.0	1.0
389	novel_in_catalog	1.0	0.0	0.0
390	full-splice_match	1.0	1.0	1.0
391	full-splice_match	1.0	1.0	0.0
392	incomplete-splice_match	1.0	0.0	0.0
393	full-splice_match	1.0	1.0	0.0
394	full-splice_match	1.0	1.0	1.0
395	incomplete-splice_match	1.0	1.0	1.0
396	novel_in_catalog	1.0	0.0	0.0
397	full-splice_match	1.0	1.0	1.0
398	novel_not_in_catalog	1.0	1.0	1.0
399	novel_in_catalog	1.0	1.0	1.0
400	full-splice_match	1.0	1.0	1.0
401	full-splice_match	1.0	1.0	1.0
402	novel_in_catalog	1.0	1.0	1.0
403	novel_in_catalog	1.0	1.0	1.0
404	full-splice_match	1.0	0.0	0.0
405	novel_in_catalog	1.0	0.0	0.0
406	incomplete-splice_match	1.0	1.0	1.0
407	incomplete-splice_match	1.0	1.0	1.0
408	novel_not_in_catalog	1.0	0.0	0.0
409	novel_not_in_catalog	1.0	1.0	0.0
410	novel_not_in_catalog	1.0	0.0	0.0
411	novel_in_catalog	1.0	1.0	1.0
412	full-splice_match	1.0	1.0	1.0
413	incomplete-splice_match	1.0	0.0	0.0
414	full-splice_match	1.0	1.0	1.0
415	novel_in_catalog	1.0	1.0	1.0
416	novel_in_catalog	1.0	1.0	0.0
417	novel_in_catalog	1.0	0.0	1.0
418	novel_in_catalog	1.0	1.0	1.0
419	full-splice_match	1.0	1.0	1.0
420	novel_in_catalog	1.0	0.0	0.0
421	novel_not_in_catalog	1.0	0.0	1.0
422	full-splice_match	1.0	1.0	1.0
423	incomplete-splice_match	1.0	1.0	1.0
424	novel_in_catalog	1.0	0.0	0.0
425	full-splice_match	1.0	1.0	1.0
426	full-splice_match	1.0	0.0	0.0
427	full-splice_match	1.0	1.0	1.0
428	full-splice_match	1.0	0.0	1.0
429	novel_not_in_catalog	1.0	0.0	0.0
430	novel_not_in_catalog	1.0	0.0	0.0
431	novel_in_catalog	1.0	1.0	1.0
432	incomplete-splice_match	1.0	1.0	1.0
433	full-splice_match	1.0	1.0	1.0
434	full-splice_match	1.0	1.0	1.0
435	full-splice_match	1.0	0.0	0.0
436	incomplete-splice_match	1.0	0.0	0.0
437	full-splice_match	1.0	0.0	0.0
438	full-splice_match	1.0	1.0	1.0
439	full-splice_match	1.0	1.0	1.0
440	full-splice_match	1.0	1.0	1.0
441	full-splice_match	1.0	0.0	0.0
442	full-splice_match	1.0	0.0	0.0
443	full-splice_match	1.0	1.0	1.0
444	full-splice_match	1.0	1.0	0.0
445	full-splice_match	1.0	0.0	0.0
446	full-splice_match	1.0	1.0	1.0
447	novel_in_catalog	1.0	0.0	1.0
448	full-splice_match	1.0	1.0	1.0
449	novel_not_in_catalog	1.0	0.0	0.0
450	full-splice_match	1.0	1.0	1.0
451	full-splice_match	1.0	1.0	1.0
452	full-splice_match	1.0	0.0	1.0
453	full-splice_match	1.0	1.0	1.0
454	full-splice_match	1.0	1.0	1.0
455	full-splice_match	1.0	1.0	1.0
456	incomplete-splice_match	1.0	1.0	0.0
457	incomplete-splice_match	1.0	0.0	0.0
458	incomplete-splice_match	1.0	1.0	0.0
459	novel_in_catalog	1.0	1.0	1.0
460	full-splice_match	1.0	1.0	1.0
461	full-splice_match	1.0	0.0	1.0
462	full-splice_match	1.0	1.0	1.0
463	novel_not_in_catalog	1.0	0.0	0.0
464	novel_not_in_catalog	1.0	0.0	0.0
465	novel_in_catalog	1.0	1.0	1.0
466	full-splice_match	1.0	1.0	1.0
467	novel_in_catalog	1.0	0.0	0.0
468	novel_not_in_catalog	1.0	0.0	0.0
469	novel_not_in_catalog	1.0	0.0	0.0
470	incomplete-splice_match	1.0	1.0	0.0
471	full-splice_match	1.0	1.0	1.0
472	novel_in_catalog	1.0	1.0	0.0
473	novel_in_catalog	1.0	1.0	0.0
474	novel_in_catalog	1.0	1.0	0.0
475	novel_not_in_catalog	1.0	0.0	0.0
476	full-splice_match	1.0	1.0	0.0
477	novel_in_catalog	1.0	1.0	0.0
478	full-splice_match	1.0	1.0	1.0
479	novel_not_in_catalog	1.0	0.0	0.0
480	novel_not_in_catalog	1.0	1.0	1.0
481	full-splice_match	1.0	0.0	0.0
482	incomplete-splice_match	1.0	1.0	1.0
483	full-splice_match	1.0	1.0	1.0
484	full-splice_match	1.0	1.0	1.0
485	incomplete-splice_match	1.0	0.0	0.0
486	incomplete-splice_match	1.0	1.0	1.0
487	incomplete-splice_match	1.0	0.0	1.0
488	incomplete-splice_match	1.0	1.0	1.0
489	novel_not_in_catalog	1.0	0.0	0.0
490	full-splice_match	1.0	1.0	1.0
491	novel_not_in_catalog	1.0	0.0	0.0
492	full-splice_match	1.0	1.0	0.0
493	incomplete-splice_match	1.0	1.0	0.0
494	full-splice_match	1.0	1.0	1.0
495	incomplete-splice_match	1.0	0.0	0.0
496	full-splice_match	1.0	1.0	1.0
497	novel_not_in_catalog	1.0	1.0	0.0
498	novel_in_catalog	1.0	0.0	1.0
499	novel_not_in_catalog	1.0	0.0	0.0
500	novel_in_catalog	1.0	1.0	1.0
501	novel_in_catalog	1.0	0.0	0.0
502	novel_in_catalog	1.0	0.0	1.0
503	novel_in_catalog	1.0	1.0	1.0
504	novel_in_catalog	1.0	0.0	0.0
505	full-splice_match	1.0	1.0	1.0
506	novel_in_catalog	1.0	0.0	0.0
507	novel_in_catalog	1.0	0.0	0.0
508	novel_not_in_catalog	1.0	0.0	0.0
509	full-splice_match	1.0	1.0	1.0
510	novel_not_in_catalog	1.0	0.0	0.0
511	novel_not_in_catalog	1.0	0.0	1.0
512	novel_in_catalog	1.0	1.0	1.0
513	full-splice_match	1.0	1.0	1.0
514	full-splice_match	1.0	1.0	1.0
515	full-splice_match	1.0	1.0	1.0
516	novel_in_catalog	1.0	0.0	0.0
517	full-splice_match	1.0	1.0	1.0
518	novel_in_catalog	1.0	1.0	1.0
519	novel_not_in_catalog	1.0	0.0	0.0
520	novel_not_in_catalog	1.0	1.0	1.0
521	incomplete-splice_match	1.0	1.0	1.0
522	full-splice_match	1.0	1.0	1.0
