	E1	E3
802	12.0	5.0
803	2.0	0.0
804	78.0	139.0
805	2.0	0.0
806	2.0	0.0
807	2.0	0.0
808	2.0	2.0
809	130.0	48.0
810	62.0	7.0
811	4.0	0.0
812	46.0	98.0
813	11.0	19.0
814	2.0	0.0
815	5.0	0.0
816	3.0	0.0
817	15.0	0.0
818	2.0	0.0
819	1316.0	1028.0
820	8.0	3.0
821	17.0	0.0
822	3.0	0.0
823	6.0	9.0
824	2.0	2.0
825	2.0	0.0
826	236.0	271.0
827	2.0	0.0
828	5.0	7.0
829	22.0	0.0
830	25.0	0.0
831	2.0	0.0
832	2.0	0.0
833	2.0	0.0
834	17.0	0.0
835	3.0	4.0
836	10.0	8.0
837	20.0	14.0
838	2.0	2.0
839	26.0	8.0
840	2.0	0.0
841	24.0	24.0
842	111.0	79.0
843	16.0	23.0
844	5.0	0.0
845	2.0	0.0
846	2.0	2.0
847	15.0	24.0
848	4.0	0.0
849	22.0	24.0
850	4.0	2.0
851	2.0	0.0
852	7.0	0.0
853	22.0	12.0
854	3.0	0.0
855	2.0	0.0
856	16.0	0.0
857	32.0	14.0
858	4.0	0.0
859	2.0	2.0
860	8.0	0.0
861	2.0	0.0
862	9.0	2.0
863	10.0	10.0
864	2.0	0.0
865	16.0	21.0
866	6.0	2.0
867	3.0	4.0
868	56.0	79.0
869	182.0	60.0
870	29.0	6.0
871	9.0	6.0
872	2.0	5.0
873	148.0	154.0
874	7.0	3.0
875	2.0	3.0
876	62.0	60.0
877	3.0	4.0
878	6.0	0.0
879	6.0	9.0
880	11.0	4.0
881	2.0	2.0
882	530.0	307.0
883	23.0	7.0
884	2.0	0.0
885	3.0	0.0
886	4.0	0.0
887	2.0	0.0
888	17.0	12.0
889	11.0	5.0
890	2.0	0.0
891	3.0	0.0
892	204.0	154.0
893	2.0	0.0
894	14.0	9.0
895	10.0	7.0
896	2.0	0.0
897	3.0	2.0
898	5.0	0.0
899	2.0	0.0
900	117.0	3.0
901	2.0	0.0
902	4.0	0.0
903	18.0	29.0
904	18.0	25.0
905	2.0	0.0
906	161.0	102.0
907	4.0	0.0
908	2.0	0.0
909	2.0	0.0
910	50.0	8.0
911	7.0	8.0
912	32.0	64.0
913	2.0	0.0
914	10.0	13.0
915	2.0	0.0
916	2.0	0.0
917	3.0	0.0
918	2.0	0.0
919	2.0	0.0
920	3.0	6.0
921	6.0	4.0
922	14.0	151.0
923	4.0	13.0
924	35.0	53.0
925	3.0	9.0
926	15.0	11.0
927	19.0	4.0
928	7.0	0.0
929	110.0	0.0
930	7.0	5.0
931	4.0	6.0
932	3.0	12.0
933	2.0	0.0
934	29.0	0.0
935	10.0	8.0
936	7.0	4.0
937	24.0	20.0
938	494.0	570.0
939	2.0	0.0
940	2.0	0.0
941	2.0	0.0
942	6.0	7.0
943	4.0	0.0
944	3.0	0.0
945	3.0	0.0
946	11.0	8.0
947	6.0	5.0
948	230.0	260.0
949	2.0	6.0
950	3.0	4.0
951	2.0	0.0
952	17.0	33.0
953	2.0	0.0
954	29.0	33.0
955	2.0	6.0
956	3.0	0.0
957	8.0	14.0
958	8.0	14.0
959	626.0	332.0
960	2.0	0.0
961	3.0	0.0
962	2.0	0.0
963	20.0	25.0
964	2.0	0.0
965	2.0	0.0
966	2.0	0.0
967	35.0	19.0
968	2.0	0.0
969	5.0	0.0
970	91.0	4.0
971	9.0	12.0
972	9.0	5.0
973	11.0	5.0
974	2.0	0.0
975	38.0	24.0
976	23.0	5.0
977	2.0	0.0
978	258.0	77.0
